case_id,prediction_timestamp,purchase_order_event_id,purchase_amount,priority,category,vendor_id,elapsed_hours_to_purchase_order,activities_completed_to_purchase_order,unique_activities_completed,has_budget_review,manager_approval_completed,approval_rework_count,total_rework_events_so_far,average_transition_time_so_far,maximum_transition_time_so_far,sla_breached
C000001,2025-07-24 17:45:58.454160457,C000001_E03,17489.77,Low,Maintenance,V034,53.26623726679362,3,3,0,1,0,0,15.678236220708472,25.498018478196112,0
C000002,2025-07-03 11:23:56.519066613,C000002_E03,65932.61,Medium,Maintenance,V009,45.06569974072583,3,3,0,1,0,0,20.85032360439611,23.199322680445835,0
C000003,2025-04-30 08:12:16.316679231,C000003_E03,43143.51,Low,IT Equipment,V038,163.2045324108975,3,3,0,1,0,0,80.11854377956445,138.14191264050194,0
C000004,2025-04-25 10:29:38.378363112,C000004_E03,73134.68,High,Software,V042,94.32732732308666,3,3,0,1,0,0,45.53371652757153,64.73270082611472,0
C000005,2025-11-26 14:25:18.190034215,C000005_E03,47587.37,Medium,IT Equipment,V039,149.75505278728195,3,3,0,1,0,0,73.7958781674314,121.20742345793056,0
C000006,2025-11-18 10:34:06.265379642,C000006_E03,22663.84,Medium,Services,V035,139.56840704990057,3,3,0,1,0,0,60.76122990550458,97.90811349986916,1
C000007,2025-06-20 11:41:23.018378342,C000007_E03,36303.06,High,Maintenance,V006,49.35639399398389,3,3,0,1,0,0,23.48635190594264,28.9499987954175,0
C000008,2025-10-24 13:05:29.177396608,C000008_E03,67908.28,Medium,Services,V016,165.59143816572447,3,3,0,1,0,0,47.685156185413746,72.58683921990472,1
C000009,2025-09-12 14:09:59.085608048,C000009_E03,5000.0,Medium,Services,V043,96.99974600223555,3,3,0,1,0,0,47.81741433797681,73.81880171342029,0
C000010,2025-08-22 14:40:08.726844618,C000010_E03,56634.05,Medium,Office Supplies,V035,30.169090790171666,3,3,0,1,0,0,14.263575586825834,22.623942459388054,0
C000011,2025-10-20 08:15:27.654780242,C000011_E03,40947.71,Medium,Software,V030,142.5910152167339,3,3,0,1,0,0,68.66056961898445,70.81102971811556,0
C000012,2025-06-06 09:53:58.685708116,C000012_E03,115465.67,Medium,Maintenance,V050,48.732968252254445,3,3,0,1,0,0,23.869125845177223,30.542085501446945,0
C000013,2025-10-28 14:44:18.863795818,C000013_E04,57115.35,High,Software,V013,125.73857327661611,4,3,0,1,1,1,41.13095918743648,115.62120478016917,0
C000014,2025-11-21 09:56:01.321019505,C000014_E03,11066.95,High,IT Equipment,V011,46.93370028319583,3,3,0,1,0,0,22.55105156205861,28.157526158129443,0
C000015,2025-01-17 14:21:44.600901531,C000015_E03,52292.14,Medium,Software,V047,77.1957224726475,3,3,0,1,0,0,36.33707989698556,47.482605195535555,1
C000016,2025-01-31 14:30:12.600501281,C000016_E04,132185.19,High,Services,V003,102.33683347257805,4,4,1,1,0,0,33.03059083874583,51.87750397456334,0
C000017,2025-12-11 10:56:05.426616976,C000017_E03,29872.13,Medium,Services,V008,26.434840726937775,3,3,0,1,0,0,11.621498851682222,22.742997703364445,1
C000018,2025-01-23 10:31:56.078973317,C000018_E03,43716.13,Medium,Office Supplies,V025,334.6989108259214,3,3,0,1,0,0,165.92360687103306,314.19159552020835,1
C000019,2025-09-05 13:45:45.279943380,C000019_E04,214942.45,Low,IT Equipment,V006,240.9292444287167,4,4,1,1,0,0,72.76382452828028,124.07543678460195,1
C000020,2025-01-15 16:03:57.037296779,C000020_E03,43000.09,Medium,IT Equipment,V027,50.39917702688305,3,3,0,1,0,0,24.949588513441526,42.75784587640528,0
C000021,2025-05-28 11:25:14.289087704,C000021_E03,48383.94,Medium,Services,V004,48.42063585769556,3,3,0,1,0,0,23.038123452184305,25.047622017088056,0
C000022,2025-11-19 10:40:49.008518593,C000022_E03,85533.03,High,Software,V018,48.01361347738695,3,3,0,1,0,0,21.997563197346388,24.107931251810555,0
C000023,2025-02-11 16:02:31.123238646,C000023_E03,27284.16,High,Software,V015,31.54197867740167,3,3,0,1,0,0,15.143965756523473,26.5890429368825,0
C000024,2025-01-08 17:54:57.142071180,C000024_E04,120719.11,Low,Office Supplies,V025,149.91587279755,4,4,1,1,0,0,48.464321329609255,88.51965454499138,0
C000025,2025-07-31 15:13:21.042372705,C000025_E03,118101.1,High,Office Supplies,V050,47.22251177019584,3,3,0,1,0,0,22.757790281710278,23.707495868494167,0
C000026,2025-04-08 12:51:28.377865408,C000026_E03,79287.86,Medium,IT Equipment,V035,27.191216073724444,3,3,0,1,0,0,11.356965921106388,21.64716743397722,0
C000027,2025-08-28 10:29:23.024311732,C000027_E04,190190.48,Low,Services,V019,238.9897289754811,4,4,1,1,0,0,71.3570169842074,117.47131623192222,0
C000028,2025-12-30 14:06:43.692753588,C000028_E03,23787.78,Low,Services,V031,123.11213687599667,3,3,0,1,0,0,59.67127772795,91.45148894443194,0
C000029,2025-05-12 13:47:05.450974971,C000029_E03,94060.11,Low,Maintenance,V038,171.61818082638084,3,3,0,1,0,0,84.02472989447153,96.74114241525028,1
C000030,2025-02-28 12:31:52.364193539,C000030_E03,90932.07,Medium,Services,V042,71.53121227598305,3,3,0,1,0,0,34.128628736671104,49.26428941518694,0
C000031,2025-12-18 11:37:53.415656281,C000031_E03,16069.0,Medium,Maintenance,V031,74.96483768230027,3,3,0,1,0,0,35.00843272832917,43.57904192442778,0
C000032,2025-09-04 14:57:37.857952210,C000032_E03,85175.25,Medium,IT Equipment,V037,71.79384943116945,3,3,0,1,0,0,35.138246222973606,46.41738654931555,0
C000033,2025-05-29 17:05:14.577199349,C000033_E03,65266.76,High,Software,V027,53.75404922204139,3,3,0,1,0,0,25.044758105910276,41.80162449044111,0
C000034,2025-10-30 13:03:32.544995642,C000034_E04,161665.94,Medium,IT Equipment,V023,238.39237360990057,4,4,1,1,0,0,78.68809968483417,189.8721201734389,1
C000035,2025-04-30 16:11:46.251761327,C000035_E03,91950.86,Medium,IT Equipment,V005,54.02951437814639,3,3,0,1,0,0,24.565996903767086,25.910695203689446,0
C000036,2025-05-07 17:15:29.289221207,C000036_E03,54692.59,High,IT Equipment,V022,51.591469228113056,3,3,0,1,0,0,24.223598357664585,41.58739821480111,0
C000037,2025-12-18 08:08:06.226883669,C000037_E03,65397.42,Medium,Services,V020,64.80172968990806,3,3,0,1,0,0,23.67331033063069,41.40522584344583,0
C000038,2025-08-14 10:23:48.209247456,C000038_E03,64825.92,Medium,Services,V004,161.73005812429335,3,3,0,1,0,0,71.97076998522999,102.06008616794777,0
C000039,2025-10-06 13:08:55.612360710,C000039_E03,36807.31,Medium,Services,V045,101.14878121130833,3,3,0,1,0,0,49.47090983637777,67.29730901433221,0
C000040,2025-01-17 10:19:57.097778208,C000040_E04,171186.11,Medium,Software,V010,92.83252716061332,4,4,1,1,0,0,29.87633063914898,45.62180479540305,0
C000041,2025-09-09 12:34:58.547656667,C000041_E04,169834.19,Medium,Services,V006,165.24959657129637,4,4,1,1,0,0,48.89667269788176,98.31978558698805,0
C000042,2025-09-01 10:45:27.087870702,C000042_E04,108418.62,Low,Office Supplies,V019,258.09085774186167,4,3,0,1,1,1,85.82955177676,143.52767851427248,1
C000043,2025-06-17 09:56:21.555268305,C000043_E04,87999.57,Medium,Maintenance,V018,264.4393209078625,4,3,0,1,1,1,85.6581847582425,118.58923024434027,0
C000044,2025-08-25 08:43:39.574281900,C000044_E03,86668.36,Low,IT Equipment,V036,166.89432618941666,3,3,0,1,0,0,80.6215846661782,89.94651884377889,0
C000045,2025-12-08 17:29:45.333448687,C000045_E03,101717.73,Medium,IT Equipment,V019,170.32925929130195,3,3,0,1,0,0,74.4923307645939,76.07124450855194,0
C000046,2025-07-11 12:15:33.235417022,C000046_E03,61423.58,Medium,IT Equipment,V027,49.42589872695055,3,3,0,1,0,0,21.872318874922918,22.870121189530554,0
C000047,2025-09-05 15:21:06.331083446,C000047_E03,36447.81,Medium,Maintenance,V039,50.018425300957226,3,3,0,1,0,0,22.979020273978335,25.375131765391668,0
C000048,2025-02-27 08:25:49.405867368,C000048_E03,74258.71,Medium,IT Equipment,V041,69.43039051871334,3,3,0,1,0,0,33.51897125450306,48.58237971276083,0
C000049,2025-04-02 09:47:42.612176521,C000049_E03,75914.03,Medium,Office Supplies,V046,118.46183671570027,3,3,0,1,0,0,58.68181640963499,92.12699570197304,0
C000050,2025-11-27 11:47:31.682234350,C000050_E03,114290.36,Low,Services,V006,141.62546728731945,3,3,0,1,0,0,37.650949663328475,56.382843083464444,0
C000051,2025-07-28 16:04:59.004595992,C000051_E03,6350.73,High,Services,V029,6.916390165553333,3,3,0,1,0,0,1.8362645259056944,3.3239244992519446,0
C000052,2025-04-08 17:48:48.937407294,C000052_E03,69164.39,Medium,Services,V006,125.48026039091499,3,3,0,1,0,0,62.07287017495209,98.61922062025417,0
C000053,2025-10-30 12:02:37.304986153,C000053_E03,5000.0,Medium,Services,V003,67.87702916282028,3,3,0,1,0,0,25.02789120940611,26.446891510993055,0
C000054,2025-10-21 16:38:18.398705604,C000054_E04,61154.51,Medium,Office Supplies,V026,147.80511075155667,4,3,0,1,1,1,48.0487466235075,88.843473605575,0
C000055,2025-04-03 12:47:26.493830345,C000055_E03,12488.06,Low,Software,V040,72.95735939731806,3,3,0,1,0,0,33.77028339520847,46.11092009577639,0
C000056,2025-06-05 11:08:41.820165987,C000056_E03,55608.92,Low,Software,V032,70.47828337944084,3,3,0,1,0,0,32.82555060216166,45.29713178402222,0
C000057,2026-01-02 12:18:04.387324065,C000057_E03,58673.81,High,Maintenance,V023,74.1345520344625,3,3,0,1,0,0,35.67147306789695,67.47501067983723,0
C000058,2025-05-29 17:59:30.719019787,C000058_E03,63452.95,Low,Services,V009,76.82519972771861,3,3,0,1,0,0,37.67070020048,66.04054647145611,1
C000059,2025-06-05 17:54:55.452312520,C000059_E03,69630.56,Medium,IT Equipment,V029,78.24873675347779,3,3,0,1,0,0,37.5648589488118,67.03163222186389,0
C000060,2025-02-03 09:27:03.190656493,C000060_E04,127559.62,Medium,Maintenance,V020,168.45088629347026,4,4,1,1,0,0,54.92147822583721,89.42674362652194,0
C000061,2025-06-24 12:19:09.347376340,C000061_E04,89478.8,Medium,Software,V029,194.65259649342775,4,3,0,1,1,1,63.01521322834453,100.7864245291475,1
C000062,2025-12-24 11:16:28.856369095,C000062_E03,27763.94,Medium,Office Supplies,V047,43.108015658081946,3,3,0,1,0,0,12.856701917930556,18.5141967808725,0
C000063,2025-05-08 09:38:07.668436797,C000063_E03,38785.5,Medium,Office Supplies,V026,70.8021301213325,3,3,0,1,0,0,34.30308750009208,47.314565275295834,0
C000064,2025-04-03 12:50:06.542882487,C000064_E03,91597.71,High,Maintenance,V023,46.16848413402417,3,3,0,1,0,0,21.638415495403333,22.959805209148335,0
C000065,2025-02-19 15:20:20.062429680,C000065_E03,73250.7,Medium,Office Supplies,V001,55.33890623046666,3,3,0,1,0,0,25.312000889740418,47.039438833453616,0
C000066,2025-05-23 11:53:06.140045910,C000066_E03,102251.13,Medium,IT Equipment,V026,263.55170556830836,3,3,0,1,0,0,130.52160411552555,216.4708929615153,1
C000067,2025-12-09 17:39:15.373972820,C000067_E03,56401.65,High,IT Equipment,V004,97.65427054800556,3,3,0,1,0,0,16.639850797119305,27.227428308521386,0
C000068,2025-10-21 13:06:21.158766276,C000068_E03,12860.28,Low,Services,V023,292.10587743507665,3,3,0,1,0,0,144.0320225836579,262.64284410440774,1
C000069,2025-07-21 11:46:47.031346847,C000069_E03,114733.97,High,Services,V047,169.27973092967972,3,3,0,1,0,0,83.45137856810194,97.97388351165583,0
C000070,2025-06-09 09:53:25.005580724,C000070_E03,22716.04,Medium,Software,V037,162.72361266131222,3,3,0,1,0,0,71.9810099919275,76.96914722111194,0
C000071,2025-05-29 14:18:12.728403484,C000071_E04,33645.86,Medium,IT Equipment,V017,165.63686900096778,4,3,0,1,1,1,48.909893875713976,76.35075043113999,0
C000072,2025-03-03 09:55:39.950576047,C000072_E03,72819.26,Low,IT Equipment,V002,114.26109738223528,3,3,0,1,0,0,48.718522239885274,71.51538720465888,0
C000073,2025-11-03 15:09:59.283950900,C000073_E03,95377.74,Medium,Software,V030,126.83313443080556,3,3,0,1,0,0,61.058359168085275,71.24910444464611,1
C000074,2025-08-04 10:34:53.037623632,C000074_E03,104684.26,Medium,IT Equipment,V035,309.08139933989776,3,3,0,1,0,0,144.68458909387152,220.28753533289583,0
C000075,2025-11-05 08:51:35.939562147,C000075_E03,84463.35,Low,IT Equipment,V034,141.85998321170752,3,3,0,1,0,0,68.19477344665945,111.55437117919779,0
C000076,2025-08-11 16:14:01.378078076,C000076_E03,99793.49,Medium,IT Equipment,V031,123.40038279946556,3,3,0,1,0,0,61.34002288379583,117.67411654747333,1
C000077,2025-01-31 09:19:48.528747172,C000077_E03,37283.36,Medium,IT Equipment,V006,94.66348020754778,3,3,0,1,0,0,44.73898466743542,65.47230330503973,0
C000078,2025-08-27 11:15:20.837981443,C000078_E03,37331.57,Medium,Office Supplies,V010,42.75578832817861,3,3,0,1,0,0,13.613516388375,26.72703277675,0
C000079,2025-05-21 13:45:17.208996413,C000079_E03,41448.97,High,IT Equipment,V009,45.588113610114725,3,3,0,1,0,0,13.428077710431388,19.851457446805,1
C000080,2025-05-01 09:22:19.412994726,C000080_E03,9859.26,Medium,Services,V006,66.03872583186833,3,3,0,1,0,0,24.54642913580014,28.475937113225555,0
C000081,2025-11-05 16:31:11.661043448,C000081_E03,114849.18,Medium,Software,V026,126.51990584540223,3,3,0,1,0,0,60.6484658685725,119.8745622095675,1
C000082,2025-03-07 10:15:34.484489557,C000082_E04,160868.36,Medium,Maintenance,V038,189.09291235821027,4,4,1,1,0,0,56.139823889717775,79.04000478174416,0
C000083,2025-03-04 14:39:54.485095164,C000083_E04,217421.1,High,Office Supplies,V006,191.16513474865667,4,4,1,1,0,0,63.29130426110305,125.84010147707278,1
C000084,2025-05-13 16:16:34.524623025,C000084_E04,125350.3,Medium,Software,V044,193.44292350639583,4,4,1,1,0,0,58.16888236589722,78.30641922470471,0
C000085,2025-08-07 10:23:26.644496454,C000085_E03,64972.14,Medium,Office Supplies,V016,138.72406791568167,3,3,0,1,0,0,36.875450975975696,47.69168121906972,0
C000086,2025-07-09 15:39:50.231502451,C000086_E03,29428.36,Medium,Maintenance,V041,47.49728652845861,3,3,0,1,0,0,14.530239363380694,23.540906042940833,0
C000087,2025-07-22 10:40:34.949267274,C000087_E03,104264.08,High,Maintenance,V015,24.176374796465,3,3,0,1,0,0,10.208235278864027,17.947918109884444,0
C000088,2025-04-28 08:10:11.842454580,C000088_E04,5000.0,Medium,IT Equipment,V043,161.00328957071667,4,4,1,1,0,0,47.7051476510213,70.5271013685475,0
C000089,2025-05-13 09:28:52.112097317,C000089_E03,29778.55,Medium,Services,V043,93.64780891592139,3,3,0,1,0,0,45.463607821305004,65.78905888925195,1
C000090,2025-11-19 08:45:50.922072995,C000090_E04,11207.43,Medium,Services,V041,188.26414502027637,4,3,0,1,1,1,61.1330274926538,115.31270498806667,0
C000091,2025-10-06 10:51:17.950329384,C000091_E03,41590.26,Medium,Services,V010,140.35498620260668,3,3,0,1,0,0,68.6601639450164,70.32610645847639,0
C000092,2025-03-14 15:56:26.135895771,C000092_E03,27387.84,High,Office Supplies,V048,54.1072599710475,3,3,0,1,0,0,26.37957040026014,46.11770077905861,0
C000093,2025-02-24 14:30:48.573916846,C000093_E03,62458.76,Medium,Maintenance,V050,240.01349275467942,3,3,0,1,0,0,86.5320951346718,98.47624983219417,1
C000094,2025-02-07 13:48:24.663829108,C000094_E03,65241.64,Low,IT Equipment,V048,71.64018439697445,3,3,0,1,0,0,26.747134379305,48.04180637160139,0
C000095,2025-03-20 11:42:26.534274343,C000095_E04,209416.16,Medium,Services,V014,195.0407039650953,4,4,1,1,0,0,63.22415845704342,123.11490143936084,1
C000096,2025-04-17 09:40:23.159235016,C000096_E03,106564.21,Medium,Services,V027,71.67309978750444,3,3,0,1,0,0,34.05747645974847,41.85283044811138,1
C000097,2025-12-29 11:02:23.688979711,C000097_E03,34548.84,Medium,Maintenance,V011,140.20658027214193,3,3,0,1,0,0,61.170588213504715,74.26687529458499,0
C000098,2025-09-25 17:09:16.604781267,C000098_E03,15749.81,Low,IT Equipment,V027,75.8212791059075,3,3,0,1,0,0,27.649077566355,47.65388155687111,0
